phase,category,question,check,cypher_executable
Phase 2,Intersection & Union Queries,Get genes with overlapping function for ath:AT1G54220,,"MATCH (g1:Gene)-[:ENCODES]->(e:EC {id: 'AT1G54220'})<-[:ENCODES]-(g2:Gene) WHERE g1 <> g2 RETURN g1, g2"
Phase 2,Intersection & Union Queries,Which genes share enzyme EC:4.2.1.59?,,"MATCH (g1:Gene)-[:ENCODES]->(e:EC {id: 'EC:4.2.1.59'})<-[:ENCODES]-(g2:Gene) WHERE g1 <> g2 RETURN g1, g2"
Phase 2,Intersection & Union Queries,List genes encoding the same ath:AT2G06990,,"MATCH (g1:Gene)-[:ENCODES]->(e:EC {id: 'AT2G06990'})<-[:ENCODES]-(g2:Gene) WHERE g1 <> g2 RETURN g1, g2"
Phase 2,Intersection & Union Queries,Which compounds are used in multiple pathways?,,"MATCH (p:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES|SUBSTRATE_OF]-(c:Compound) WITH c, count(DISTINCT p) as pathwayCount WHERE pathwayCount > 1 RETURN c, pathwayCount"
Phase 2,Intersection & Union Queries,Find metabolites shared across pathways,,"MATCH (p:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES|SUBSTRATE_OF]-(c:Compound) WITH c, count(DISTINCT p) as pathwayCount WHERE pathwayCount > 1 RETURN c, pathwayCount"
Phase 2,Intersection & Union Queries,Show compounds with broad pathway involvement,,"MATCH (p:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES|SUBSTRATE_OF]-(c:Compound) WITH c, count(DISTINCT p) as pathwayCount WHERE pathwayCount > 1 RETURN c, pathwayCount"
Phase 2,Intersection & Union Queries,Get hub metabolites in the network,,"MATCH (p:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES|SUBSTRATE_OF]-(c:Compound) WITH c, count(DISTINCT p) as pathwayCount WHERE pathwayCount > 1 RETURN c, pathwayCount"
Phase 2,Intersection & Union Queries,Which compounds connect different pathways?,,"MATCH (p:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES|SUBSTRATE_OF]-(c:Compound) WITH c, count(DISTINCT p) as pathwayCount WHERE pathwayCount > 1 RETURN c, pathwayCount"
Phase 2,Intersection & Union Queries,List compounds appearing in multiple metabolic routes,,"MATCH (p:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES|SUBSTRATE_OF]-(c:Compound) WITH c, count(DISTINCT p) as pathwayCount WHERE pathwayCount > 1 RETURN c, pathwayCount"
Phase 2,Intersection & Union Queries,Which reactions use the same substrates?,,"MATCH (r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, c, r2"
Phase 2,Intersection & Union Queries,Find competing reactions for substrates,,"MATCH (r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, c, r2"
Phase 2,Intersection & Union Queries,Show reactions with overlapping substrate requirements,,"MATCH (r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, c, r2"
Phase 2,Intersection & Union Queries,Get reactions that share input compounds,,"MATCH (r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, c, r2"
Phase 2,Intersection & Union Queries,Which reactions compete for the same metabolites?,,"MATCH (r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, c, r2"
Phase 2,Intersection & Union Queries,List reaction R03777 pairs with common substrates,,"MATCH (r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, c, r2"
Phase 2,Comparative & Set Operations,Which reactions are unique to pathway path:ath00280?,,MATCH (p1:Pathway {id: 'path:ath00280'1})-[:CONTAINS]->(r:Reaction) WHERE NOT EXISTS((p2:Pathway)-[:CONTAINS]->(r)) WHERE p2.id <> 'path:ath00280'1 RETURN r
Phase 2,Comparative & Set Operations,Find reactions exclusive to ath00280,,MATCH (p1:Pathway {id: 'path:ath00010'1})-[:CONTAINS]->(r:Reaction) WHERE NOT EXISTS((p2:Pathway)-[:CONTAINS]->(r)) WHERE p2.id <> 'path:ath00010'1 RETURN r
Phase 2,Comparative & Set Operations,Show reactions only in pathway path:gmx00603,,MATCH (p1:Pathway {id: 'path:gmx00603'1})-[:CONTAINS]->(r:Reaction) WHERE NOT EXISTS((p2:Pathway)-[:CONTAINS]->(r)) WHERE p2.id <> 'path:gmx00603'1 RETURN r
Phase 2,Comparative & Set Operations,Get reactions specific to TCA cycle,,MATCH (p1:Pathway {id: 'path:ath00280'1})-[:CONTAINS]->(r:Reaction) WHERE NOT EXISTS((p2:Pathway)-[:CONTAINS]->(r)) WHERE p2.id <> 'path:ath00020'1 RETURN r
Phase 2,Comparative & Set Operations,Which reactions appear only in pathway path:ath00603?,,MATCH (p1:Pathway {id: 'path:ath00603'1})-[:CONTAINS]->(r:Reaction) WHERE NOT EXISTS((p2:Pathway)-[:CONTAINS]->(r)) WHERE p2.id <> 'path:ath00603'1 RETURN r
Phase 2,Comparative & Set Operations,List reactions exclusive to fatty acid biosynthesis,,MATCH (p1:Pathway {id: 'path:ath00061'1})-[:CONTAINS]->(r:Reaction) WHERE NOT EXISTS((p2:Pathway)-[:CONTAINS]->(r)) WHERE p2.id <> 'path:ath00061'1 RETURN r
Phase 2,Comparative & Set Operations,"Which compounds are only produced, never consumed?",1,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound) WHERE NOT EXISTS((c)-[:SUBSTRATE_OF]->()) RETURN c
Phase 2,Comparative & Set Operations,Find terminal metabolic products,1,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound) WHERE NOT EXISTS((c)-[:SUBSTRATE_OF]->()) RETURN c
Phase 2,Comparative & Set Operations,Show end products in the network,1,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound) WHERE NOT EXISTS((c)-[:SUBSTRATE_OF]->()) RETURN c
Phase 2,Comparative & Set Operations,Get compounds that are dead-end products,1,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound) WHERE NOT EXISTS((c)-[:SUBSTRATE_OF]->()) RETURN c
Phase 2,Comparative & Set Operations,Which compounds have no downstream reactions?,1,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound) WHERE NOT EXISTS((c)-[:SUBSTRATE_OF]->()) RETURN c
Phase 2,Comparative & Set Operations,List final output compounds,1,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound) WHERE NOT EXISTS((c)-[:SUBSTRATE_OF]->()) RETURN c
Phase 2,Comparative & Set Operations,"Which compounds are only consumed, never produced?",1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction) WHERE NOT EXISTS(()-[:PRODUCES]->(c)) RETURN c
Phase 2,Comparative & Set Operations,Find starting materials in metabolism,1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction) WHERE NOT EXISTS(()-[:PRODUCES]->(c)) RETURN c
Phase 2,Comparative & Set Operations,Show input-only compounds,1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction) WHERE NOT EXISTS(()-[:PRODUCES]->(c)) RETURN c
Phase 2,Comparative & Set Operations,Get compounds that must come from outside,1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction) WHERE NOT EXISTS(()-[:PRODUCES]->(c)) RETURN c
Phase 2,Comparative & Set Operations,Which compounds have no production pathway?,1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction) WHERE NOT EXISTS(()-[:PRODUCES]->(c)) RETURN c
Phase 2,Comparative & Set Operations,List external input requirements,1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction) WHERE NOT EXISTS(()-[:PRODUCES]->(c)) RETURN c
Phase 2,Comparative & Set Operations,Which enzymes catalyze multiple reactions?,1,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction) WITH e, collect(r) as reactions WHERE size(reactions) > 1 RETURN e, reactions"
Phase 2,Comparative & Set Operations,Find promiscuous enzymes,1,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction) WITH e, collect(r) as reactions WHERE size(reactions) > 1 RETURN e, reactions"
Phase 2,Comparative & Set Operations,Show enzymes with broad substrate specificity,1,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction) WITH e, collect(r) as reactions WHERE size(reactions) > 1 RETURN e, reactions"
Phase 2,Comparative & Set Operations,Get multi-functional enzymes,1,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction) WITH e, collect(r) as reactions WHERE size(reactions) > 1 RETURN e, reactions"
Phase 2,Comparative & Set Operations,Which EC numbers have multiple activities?,1,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction) WITH e, collect(r) as reactions WHERE size(reactions) > 1 RETURN e, reactions"
Phase 2,Comparative & Set Operations,List enzymes with diverse catalytic roles,1,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction) WITH e, collect(r) as reactions WHERE size(reactions) > 1 RETURN e, reactions"
Phase 2,Connectivity & Network Analysis,Which compounds are central metabolites?,1,"MATCH (c:Compound)-[r]-() WITH c, count(r) as degree WHERE degree > $threshold RETURN c, degree ORDER BY degree DESC"
Phase 2,Connectivity & Network Analysis,Find hub compounds in the network,1,"MATCH (c:Compound)-[r]-() WITH c, count(r) as degree WHERE degree > $threshold RETURN c, degree ORDER BY degree DESC"
Phase 2,Connectivity & Network Analysis,Show compounds with most connections,1,"MATCH (c:Compound)-[r]-() WITH c, count(r) as degree WHERE degree > $threshold RETURN c, degree ORDER BY degree DESC"
Phase 2,Connectivity & Network Analysis,Get key metabolic intermediates,1,"MATCH (c:Compound)-[r]-() WITH c, count(r) as degree WHERE degree > $threshold RETURN c, degree ORDER BY degree DESC"
Phase 2,Connectivity & Network Analysis,Which compounds have highest degree?,1,"MATCH (c:Compound)-[r]-() WITH c, count(r) as degree WHERE degree > $threshold RETURN c, degree ORDER BY degree DESC"
Phase 2,Connectivity & Network Analysis,List most connected metabolites,1,"MATCH (c:Compound)-[r]-() WITH c, count(r) as degree WHERE degree > $threshold RETURN c, degree ORDER BY degree DESC"
Phase 2,Connectivity & Network Analysis,Which pathways are isolated?,,MATCH (p:Pathway) WHERE NOT EXISTS((p)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(:Pathway)) RETURN p
Phase 2,Connectivity & Network Analysis,Find pathways with no connections to others,,MATCH (p:Pathway) WHERE NOT EXISTS((p)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(:Pathway)) RETURN p
Phase 2,Connectivity & Network Analysis,Show standalone metabolic pathways,,MATCH (p:Pathway) WHERE NOT EXISTS((p)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(:Pathway)) RETURN p
Phase 2,Connectivity & Network Analysis,Get pathways without metabolic crosstalk,,MATCH (p:Pathway) WHERE NOT EXISTS((p)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(:Pathway)) RETURN p
Phase 2,Connectivity & Network Analysis,Which pathways don't share metabolites with others?,,MATCH (p:Pathway) WHERE NOT EXISTS((p)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(:Pathway)) RETURN p
Phase 2,Connectivity & Network Analysis,List disconnected pathways,,MATCH (p:Pathway) WHERE NOT EXISTS((p)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(:Pathway)) RETURN p
Phase 2,Connectivity & Network Analysis,How are pathways connected through compounds?,,"MATCH (p1:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(p2:Pathway) WHERE p1 <> p2 RETURN p1, c, p2"
Phase 2,Connectivity & Network Analysis,Find compounds linking different pathways,,"MATCH (p1:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(p2:Pathway) WHERE p1 <> p2 RETURN p1, c, p2"
Phase 2,Connectivity & Network Analysis,Show metabolic pathway path:gmx01040 connections,,"MATCH (p1:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(p2:Pathway) WHERE p1 <> p2 RETURN p1, c, p2"
Phase 2,Connectivity & Network Analysis,Get compounds that bridge pathways,,"MATCH (p1:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(p2:Pathway) WHERE p1 <> p2 RETURN p1, c, p2"
Phase 2,Connectivity & Network Analysis,Which compounds connect pathway path:ath00280 to others?,,"MATCH (p1:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(p2:Pathway) WHERE p1 <> p2 RETURN p1, c, p2"
Phase 2,Connectivity & Network Analysis,List inter-pathway path:gmx00603 metabolite exchanges,,"MATCH (p1:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(p2:Pathway) WHERE p1 <> p2 RETURN p1, c, p2"
Phase 2,Connectivity & Network Analysis,Show sequential reactions in pathway path:ath00603,,MATCH path = (p:Pathway {id: 'path:ath00603'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)<-[:CONTAINS]-(p) RETURN path
Phase 2,Connectivity & Network Analysis,Find reaction R00200 chains in glycolysis,,MATCH path = (p:Pathway {id: 'R00200'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)<-[:CONTAINS]-(p) RETURN path
Phase 2,Connectivity & Network Analysis,Get ordered reactions in pathway path:ats01040,,MATCH path = (p:Pathway {id: 'path:ats01040'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)<-[:CONTAINS]-(p) RETURN path
Phase 2,Connectivity & Network Analysis,Show reaction R07764 sequences in TCA cycle,,MATCH path = (p:Pathway {id: 'R07764'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)<-[:CONTAINS]-(p) RETURN path
Phase 2,Connectivity & Network Analysis,Map reaction flow in pathway path:gmx00280,,MATCH path = (p:Pathway {id: 'path:gmx00280'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)<-[:CONTAINS]-(p) RETURN path
Phase 2,Connectivity & Network Analysis,Display sequential steps in fatty acid biosynthesis path:ath00061,,MATCH path = (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)<-[:CONTAINS]-(p) RETURN path
Phase 3,Paraphrasing & Synonyms,What enzymes does gene ath:AT5G61540 encode?,1,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]->(e:EC) RETURN e
Phase 3,Paraphrasing & Synonyms,Which EC numbers are encoded by gene gmx:100217331?,1,MATCH (g:Gene {id: 'gmx:100217331'})-[:ENCODES]->(e:EC) RETURN e
Phase 3,Paraphrasing & Synonyms,Show me the enzyme functions of gene ats:109745953,1,MATCH (g:Gene {id: 'ats:109745953'})-[:ENCODES]->(e:EC) RETURN e
Phase 3,Paraphrasing & Synonyms,Gene gmx:100037478 encodes which enzymes?,1,MATCH (g:Gene {id: 'gmx:100037478'})-[:ENCODES]->(e:EC) RETURN e
Phase 3,Paraphrasing & Synonyms,List enzyme activities for gene ath:AT1G01040,1,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:ENCODES]->(e:EC) RETURN e
Phase 3,Paraphrasing & Synonyms,What are the EC numbers for gene ath:AT1G01050?,1,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]->(e:EC) RETURN e
Phase 3,Paraphrasing & Synonyms,Tell me the enzymes from gene ats:109733199,1,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]->(e:EC) RETURN e
Phase 3,Paraphrasing & Synonyms,Gene ats:109761713 produces what enzymes?,1,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC) RETURN e
Phase 3,Informal & Conversational,"Hey, what reactions use C00422 ?",1,MATCH (c:Compound {id: 'C00422'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
Phase 3,Informal & Conversational,Can you tell me about pathway path:gmx00061?,1,MATCH (p:Pathway {id: 'path:gmx00061'})-[:CONTAINS]->(n) RETURN n
Phase 3,Informal & Conversational,I need to know which genes encode EC:4.2.1.59,1,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:4.2.1.59'}) RETURN g
Phase 3,Informal & Conversational,Show me what's in the path:ath00061 pathway,1,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(n) RETURN n
Phase 3,Informal & Conversational,What does gene ath:AT2G06990 do?,1,MATCH (g:Gene {id: 'AT2G06990'})-[*1..2]-(n) RETURN DISTINCT n
Phase 3,Informal & Conversational,Find stuff related to compound C00164,1,MATCH (n {id: 'C00164'})-[r]-(m) RETURN m
Phase 3,Informal & Conversational,Tell me about enzyme EC:1.13.11.33,1,MATCH (e:EC {id: 'EC:1.13.11.33'})-[r]-(n) RETURN n
Phase 3,Informal & Conversational,What's connected to reaction R06870?,1,MATCH (n {id: 'R06870'})-[r]-(m) RETURN m
Phase 3,Ambiguous Queries,What about ath:AT1G01210?,1,MATCH (g:Gene {id: 'ath:AT1G01210'}) RETURN g
Phase 3,Ambiguous Queries,Show me path:ats00603,1,MATCH (p:Pathway {id: 'path:ats00603'}) RETURN p
Phase 3,Ambiguous Queries,Find reactions for EC:6.4.1.2,1,MATCH (e:EC {id: 'EC:6.4.1.2'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 3,Ambiguous Queries,Show me the pathway path:ats00280,1,MATCH (p:Pathway) RETURN p 
Phase 3,Ambiguous Queries,Tell me about the enzyme EC:6.4.1.2,1,MATCH (e:EC) RETURN e 
Phase 3,Ambiguous Queries,Get information about this gene ath:AT5G61540,1,MATCH (g:Gene) RETURN g 
Phase 3,Typos & Misspellings,What enzimes does gene gmx:100217331 encode?,1,MATCH (g:Gene {id: 'gmx:100217331'})-[:ENCODES]->(e:EC) RETURN e
Phase 3,Typos & Misspellings,Show reacctions in pathway path:gmx01040,1,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]->(r:Reaction) RETURN r
Phase 3,Typos & Misspellings,Find compunds produced by reaction R10826,1,MATCH (r:Reaction {id: 'R10826'})-[:PRODUCES]->(c:Compound) RETURN c
Phase 3,Typos & Misspellings,Get ortholg for gene ats:109745953,1,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
Phase 3,Typos & Misspellings,Show substrates of reation R00010,1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R00010'}) RETURN c
Phase 3,Typos & Misspellings,Find pathwys for compound C03069,1,MATCH (c:Compound {id: 'C03069'})-[:SUBSTRATE_OF|PRODUCES]-(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
Phase 3,Typos & Misspellings,What does geen ath:AT3G01130 encode?,1,MATCH (g:Gene {id: 'ath:AT3G01130'})-[:ENCODES]->(e:EC) RETURN e
Phase 3,Edge Cases & Negations,Show genes that don't encode any enzymes,1,MATCH (g:Gene) WHERE NOT EXISTS((g)-[:ENCODES]->()) RETURN g
Phase 3,Edge Cases & Negations,Find reactions without products,1,MATCH (r:Reaction) WHERE NOT EXISTS((r)-[:PRODUCES]->()) RETURN r
Phase 3,Edge Cases & Negations,Which pathways have no reactions?,1,MATCH (p:Pathway) WHERE NOT EXISTS((p)-[:CONTAINS]->(:Reaction)) RETURN p
Phase 3,Edge Cases & Negations,Get compounds not used as substrates,1,MATCH (c:Compound) WHERE NOT EXISTS((c)-[:SUBSTRATE_OF]->()) RETURN c
Phase 3,Edge Cases & Negations,Find empty pathways,1,MATCH (p:Pathway) WHERE NOT EXISTS((p)-[:CONTAINS]->()) RETURN p
Phase 3,Edge Cases & Negations,Show orphan reactions,1,MATCH (r:Reaction) WHERE NOT EXISTS((:Pathway)-[:CONTAINS]->(r)) RETURN r
Phase 3,Edge Cases & Negations,Which enzymes don't catalyze anything?,1,MATCH (e:EC) WHERE NOT EXISTS((e)-[:CATALYZES]->()) RETURN e
Phase 3,Edge Cases & Negations,List genes not in any ortholog group,1,MATCH (g:Gene) WHERE NOT EXISTS((g)-[:BELONGS_TO]->()) RETURN g
