phase,category,question,generated_cypher,answer,if_correct
Phase 2,2-Hop Queries,What reactions does gene ath:AT5G61540 catalyze through its enzymes?,"MATCH (g:Gene {id:'ath:AT5G61540'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)
RETURN r.id AS reactionId, r.name AS reactionName;",I don't know the answer.,1
Phase 2,2-Hop Queries,Show reactions for gene gmx:100217331 via encoded enzymes,"MATCH (g:Gene {id: 'gmx:100217331'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)
RETURN r.id AS reactionId, r.name AS reactionName, r.equation AS equation;","I’m sorry, but I don’t have that information.",1
Phase 2,2-Hop Queries,Find reactions catalyzed by enzymes from gene EC:1.3.1.10,"MATCH (g:Gene)-[:ENCODES]->(e:EC {id:""1.3.1.10""})-[:CATALYZES]->(r:Reaction)
RETURN r;",I don't know the answer.,1
Phase 2,2-Hop Queries,Get reactions that gene ats:109745953 affects through EC numbers,"MATCH (g:Gene {id: 'ats:109745953'})-[:ENCODES]->(ec:EC)-[:CATALYZES]->(r:Reaction)
RETURN r;",I don't know the answer.,1
Phase 2,2-Hop Queries,Which reactions are influenced by gene gmx:100037478?,,Exception: CypherSyntaxError,1
Phase 2,2-Hop Queries,List reactions connected to gene EC:4.2.1.59 through enzymes,"MATCH (g:Gene)-[:ENCODES]->(e:EC {id: '4.2.1.59'})-[:CATALYZES]->(r:Reaction)
RETURN r;",I don't know the answer.,1
Phase 2,2-Hop Queries,What compounds are produced from compound C06000?,"MATCH (c:Compound {id: 'C06000'})<-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]->(p:Compound)
RETURN DISTINCT p;",I don't know the answer.,1
Phase 2,2-Hop Queries,Show products when C00024 is used as substrate,"MATCH (c:Compound {id: 'C00024'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(p:Compound)
RETURN p;","['C00033', 'C00010', 'C00264', 'C00010', 'C16255', 'C00010', 'C00011', 'C00010', 'C05744', 'C00083']",1
Phase 2,2-Hop Queries,Find compounds made from C00164,"MATCH (c1:Compound {id: 'C00164'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound)
RETURN DISTINCT c2;",I don't know the answer.,1
Phase 2,2-Hop Queries,Get output compounds for substrate C08813,"MATCH (c:Compound {id:""C08813""})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(out:Compound)
RETURN DISTINCT out;",I don't know the answer.,1
Phase 2,2-Hop Queries,Which compounds are synthesized from C03069?,"MATCH (c1:Compound {id:'C03069'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound)
RETURN DISTINCT c2;","['C03231', 'C00009', 'C00008']",1
Phase 2,2-Hop Queries,What can be produced using compound C00183 as input?,"MATCH (c:Compound {id: 'C00183'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(p:Compound)
RETURN p.id AS producedCompoundId, p.name AS producedCompoundName, r.id AS reactionId, r.name AS reactionName;",I don't know.,1
Phase 2,2-Hop Queries,What enzyme functions does gene ath:AT1G01040 have through ortholog?,"MATCH (g:Gene {id:""ath:AT1G01040""})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN ec.id AS ec_id, ec.name AS ec_name, ec.sysname AS ec_sysname, ec.names AS ec_names, ec.link AS ec_link;",I don't know the answer.,1
Phase 2,2-Hop Queries,Show EC numbers for gene ath:AT1G01050 via ortholog,"MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN DISTINCT ec.id AS ec_id, ec.name AS ec_name;",EC:3.6.1.1,1
Phase 2,2-Hop Queries,Find enzyme activities of gene gmx:547808 through KO group,"MATCH (g:Gene {id:'gmx:547808'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN ec.id, ec.name, ec.sysname, ec.names;",stearoyl‑[acyl‑carrier‑protein] 9‑desaturase (EC 1.14.19.2),1
Phase 2,2-Hop Queries,Get EC numbers associated with gene ats:109733199 via ortholog,"MATCH (g:Gene {id: ""ats:109733199""})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN ec.id, ec.name, ec.sysname, ec.link, ec.names;",I don't know the answer.,1
Phase 2,2-Hop Queries,Which enzymes does gene ats:109761713 relate to through ortholog?,"MATCH (g:Gene {id:""ats:109761713""})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC)
RETURN e.id, e.name, e.sysname;",I don't know the answer.,1
Phase 2,2-Hop Queries,List enzyme functions for gene ath:AT1G54220 via ortholog groups,"MATCH (g:Gene {id: 'ath:AT1G54220'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN ec.id AS ec_id, ec.name AS ec_name, ec.sysname AS ec_sysname, ec.names AS ec_names;","dihydrolipoyllysine‑residue acetyltransferase, acetyl‑CoA:dihydrolipoamide S‑acetyltransferase, dihydrolipoamide S‑acetyltransferase, dihydrolipoate acetyltransferase, dihydrolipoic transacetylase, dihydrolipoyl acetyltransferase, lipoate acetyltransferase, lipoate transacetylase, lipoic acetyltransferase, lipoic acid acetyltransferase, lipoic transacetylase, lipoylacetyltransferase, thioltransacetylase A, transacetylase X, enzyme‑dihydrolipoyllysine:acetyl‑CoA S‑acetyltransferase, acetyl‑CoA:enzyme 6‑N‑(dihydrolipoyl)lysine S‑acetyltransferase.",1
Phase 2,2-Hop Queries,What reactions use products from reaction R06871?,"MATCH (r1:Reaction {id:""R06871""})-[:PRODUCES]->(c:Compound)<-[:SUBSTRATE_OF]-(r2:Reaction)
RETURN DISTINCT r2;",I don't know the answer.,1
Phase 2,2-Hop Queries,Show downstream reactions of reaction R10826,"MATCH (r:Reaction {id:""R10826""})-[:PRODUCES]->(c:Compound)<-[:SUBSTRATE_OF]-(down:Reaction)
RETURN DISTINCT down.id, down.name, down.equation;",I don't know the answer.,1
Phase 2,2-Hop Queries,Find reactions that consume products of reaction R03777,"MATCH (r:Reaction {id:'R03777'})-[:PRODUCES]->(c:Compound)<-[:SUBSTRATE_OF]-(other:Reaction)
RETURN other.id, other.name, other.equation;",I don't know the answer.,1
Phase 2,2-Hop Queries,Get reactions following reaction R02814,"MATCH (r1:Reaction {id: 'R02814'})-[:PRODUCES]->(c:Compound)<-[:SUBSTRATE_OF]-(r2:Reaction)
RETURN r2;",I don't know the answer.,1
Phase 2,2-Hop Queries,Which reactions use outputs from reaction R04957?,"MATCH (r1:Reaction {id:""R04957""})-[:PRODUCES]->(c:Compound)<-[:SUBSTRATE_OF]-(r2:Reaction)
RETURN r2.id, r2.name;",I don't know the answer.,1
Phase 2,2-Hop Queries,List next reactions after reaction R07449,"MATCH (r:Reaction {id: 'R07449'})-[:PRODUCES]->(c:Compound)<-[:SUBSTRATE_OF]-(nextR:Reaction)
RETURN nextR.id AS nextReactionId, nextR.name AS nextReactionName, c.id AS productCompoundId, c.name AS productCompoundName;",I don't know the answer.,1
Phase 2,2-Hop Queries,What compounds are produced in pathway path:gmx00603?,"MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN c.id AS compoundId, c.name AS compoundName;","NOR2 antigen, UDP, IV4‑alpha‑Gal‑Gb4Cer, Lactosylceramide, D‑Galactose, Globotriaosylceramide, N‑Acetyl‑D‑galactosamine.",1
Phase 2,2-Hop Queries,Show all products of path:ath00603 pathway,"MATCH (p:Pathway {id:'ath00603'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN DISTINCT c;",I don't know the answer.,1
Phase 2,2-Hop Queries,Find compounds made in pathway path:ats01040,"MATCH (p:Pathway {id: 'path:ats01040'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN DISTINCT c;","['C06427', 'C00010', 'C06428', 'C06429', 'C06426', 'C03242', 'C00219', 'C01595', 'C00712', 'C06425']",1
Phase 2,2-Hop Queries,Which compounds are synthesized in pathway path:gmx00280?,"MATCH (p:Pathway {id:'path:gmx00280'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN DISTINCT c;","['C00041', 'C00349', 'C00013', 'C00020', 'C01213', 'C00030', 'C03345', 'C00025', 'C00233', 'C15975']",1
Phase 2,2-Hop Queries,List all products from path:gmx00061 pathway,"MATCH (p:Pathway {id:'gmx00061'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN c;",I don't know the answer.,1
Phase 2,2-Hop Queries,What compounds are consumed in pathway path:ath00061?,"MATCH (p:Pathway {id:""ath00061""})-[:CONTAINS]->(r:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)
RETURN DISTINCT c;",I don't know the answer.,1
Phase 2,2-Hop Queries,Find input compounds for pathway path:ats00603,"MATCH (p:Pathway {id:'path:ats00603'})-[:CONTAINS]->(r:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)
RETURN DISTINCT c;","['G13080', 'G10609', 'G00094', 'G00093', 'C00001', 'G00092']",1
Phase 2,2-Hop Queries,Which compounds are consumed in pathway path:ats00280?,"MATCH (p:Pathway {id:'path:ats00280'})-[:CONTAINS]->(r:Reaction)-[:SUBSTRATE_OF]->(c:Compound)
RETURN c;",I don't know the answer.,1
Phase 2,2-Hop Queries,What enzymes are associated with functional unit M00001?,"MATCH (fu:FunctionalUnit {id:'M00001'})
MATCH (fu)<-[:MEMBER_OF]-(g:Gene)-[:ENCODES]->(ec:EC)
RETURN DISTINCT ec
UNION
MATCH (fu:FunctionalUnit {id:'M00001'})
MATCH (fu)<-[:MEMBER_OF]-(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN DISTINCT ec
UNION
MATCH (fu:FunctionalUnit {id:'M00001'})
MATCH (fu)<-[:CONTAINS]-(p:Pathway)-[:CONTAINS]->(ec:EC)
RETURN DISTINCT ec",I don't know the answer.,1
Phase 2,2-Hop Queries,Show EC numbers for complex M00002,"MATCH (p:Pathway {id: 'M00002'})-[:CONTAINS]->(ec:EC)
RETURN ec.id;",I don't know the answer.,1
Phase 2,2-Hop Queries,Find enzyme EC:1.3.1.9 activities in functional unit M00003,"MATCH (fu:FunctionalUnit {id:'M00003'})<-[:CONTAINS]-(p:Pathway)-[:CONTAINS]->(r:Reaction)<-[:CATALYZES]-(ec:EC {id:'1.3.1.9'})
RETURN ec;",I don't know the answer.,1
Phase 2,2-Hop Queries,Get enzymes for complex M00004,"MATCH (p:Pathway {id: 'M00004'})-[:CONTAINS]->(e:EC)
RETURN e.id AS ec_id, e.name AS ec_name, e.sysname AS ec_sysname, e.link AS ec_link, e.names AS ec_names;",I don't know the answer.,1
Phase 2,2-Hop Queries,Which EC numbers relate to functional unit M00005?,"MATCH (fu:FunctionalUnit {id: 'M00005'})-[:MEMBER_OF]->(ec:EC)
RETURN DISTINCT ec.id;",I don't know the answer.,1
Phase 2,2-Hop Queries,List enzymes in complex M00006,"MATCH (fu:FunctionalUnit {id:'M00006'})<-[:MEMBER_OF]-(ec:EC)
RETURN ec.id, ec.name, ec.sysname, ec.names, ec.link;",I don't know the answer.,1
Phase 2,3-Hop Queries,What compounds does gene ath:AT2G06990 help produce?,"MATCH (g:Gene {id:'ath:AT2G06990'})-[:ENCODES]->(ec:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN DISTINCT c.id AS compoundId, c.name AS compoundName, c.formula AS formula
UNION
MATCH (g:Gene {id:'ath:AT2G06990'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN DISTINCT c.id AS compoundId, c.name AS compoundName, c.formula AS formula;",I don't know the answer.,1
Phase 2,3-Hop Queries,Show products from gene ath:AT5G61540 via ortholog pathway,"MATCH (g:Gene {id: 'ath:AT5G61540'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
MATCH (o)-[:MEMBER_OF]->(fu:FunctionalUnit)<-[:CONTAINS]-(p:Pathway)
RETURN c.id AS compoundId, c.name AS compoundName, p.id AS pathwayId, p.title AS pathwayTitle;",I don't know the answer.,1
Phase 2,3-Hop Queries,Find compounds synthesized by gene gmx:100217331,"MATCH (g:Gene {id:""gmx:100217331""})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN DISTINCT c;","['C00001', 'C00139', 'C01203', 'C16520']",1
Phase 2,3-Hop Queries,Get output compounds from gene ats:109745953,"MATCH (g:Gene {id:""ats:109745953""})-[:ENCODES]->(ec:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN DISTINCT c;",I don't know the answer.,1
Phase 2,3-Hop Queries,Which compounds are produced through gene gmx:100037478?,"MATCH (g:Gene {id: 'gmx:100037478'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN c;","['C00001', 'C00139', 'C01203', 'C00001', 'C00139', 'C16520', 'C00001', 'C00139', 'C01203']",1
Phase 2,3-Hop Queries,List compounds made by gene ath:AT1G01040 via ortholog,"MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN DISTINCT c;",I don't know the answer.,1
Phase 2,3-Hop Queries,What compounds does gene ath:AT1G01050 produce through enzymes?,"MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN c.id AS compoundId, c.name AS compoundName, c.formula AS formula;",Orthophosphate (H₃PO₄),1
Phase 2,3-Hop Queries,Show products from gene ats:109733199 via EC pathway,"MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]->(ec:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN DISTINCT c;",I don't know the answer.,1
Phase 2,3-Hop Queries,Find compounds made by gene ats:109761713 through enzymes,"MATCH (g:Gene {id:""ats:109761713""})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN DISTINCT c;",I don't know the answer.,1
Phase 2,3-Hop Queries,Get products from gene ath:AT1G54220 via enzyme catalysis,"MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN c;","['C16255', 'C00010']",1
Phase 2,3-Hop Queries,Which compounds result from gene ath:AT2G06990 activity?,"MATCH (g:Gene {id:'ath:AT2G06990'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN c;",I don't know the answer.,1
Phase 2,3-Hop Queries,List compounds produced by gene ath:AT5G61540 via enzymes,"MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN DISTINCT c.id AS compoundId, c.name AS compoundName;",I don't know the answer.,1
Phase 2,3-Hop Queries,What reactions follow pathway path:gmx01040?,"MATCH (p:Pathway {id:'path:gmx01040'})-[:CONTAINS]->(r:Reaction)
RETURN r;","['R08178', 'R08179', 'R08180', 'R08181', 'R08182', 'R08183', 'R08177', 'R08176', 'R08175', 'R08174']",1
Phase 2,3-Hop Queries,Show downstream reactions from glycolysis products,"MATCH (p:Pathway)-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)
WHERE p.title CONTAINS ""glycolysis""
MATCH (c)-[:SUBSTRATE_OF]->(r2:Reaction)
RETURN DISTINCT r2, c;",I don't know the answer.,1
Phase 2,3-Hop Queries,Find reactions that use outputs from pathway path:ath00280,"MATCH (p:Pathway {id:""path:ath00280""})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)
MATCH (r2:Reaction)-[:SUBSTRATE_OF]->(c)
RETURN DISTINCT r2;",I don't know the answer.,1
Phase 2,3-Hop Queries,Get subsequent reactions after TCA cycle,"MATCH (p:Pathway {title: ""TCA cycle""})-[:CONTAINS]->(r1:Reaction)
MATCH (r1)-[:PRODUCES]->(c:Compound)
MATCH (r2:Reaction)-[:SUBSTRATE_OF]->(c)
WHERE r2 <> r1
RETURN DISTINCT r2.name AS reactionName;",I don't know the answer.,1
Phase 2,3-Hop Queries,Which reactions consume products from pathway path:gmx00603?,"MATCH (p:Pathway {id:'path:gmx00603'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)<-[:SUBSTRATE_OF]-(r2:Reaction)
RETURN DISTINCT r2;",I don't know the answer.,1
Phase 2,3-Hop Queries,List reactions following fatty acid biosynthesis,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction)
WHERE toLower(p.title) CONTAINS ""fatty acid biosynthesis""
RETURN r;","['R04568', 'R01404', 'R01403', 'R00390', 'R12329', 'R02767', 'R10208', 'R02768', 'R12300', 'R01280']",1
Phase 2,3-Hop Queries,What reactions are two steps downstream from compound C01181?,"MATCH (c:Compound {id:'C01181'})-[:SUBSTRATE_OF]->(:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)
RETURN DISTINCT r2;",I don't know the answer.,1
Phase 2,3-Hop Queries,Show reactions in the second step after using R06870,"MATCH (r1:Reaction {id: 'R06870'})-[:PRODUCES]->(c:Compound)<-[:SUBSTRATE_OF]-(r2:Reaction)
RETURN r2.id, r2.name, r2.equation;",I don't know the answer.,1
Phase 2,3-Hop Queries,Find reactions two hops away from compound C00422,"MATCH (c:Compound {id:'C00422'})
  -[:PRODUCES|:SUBSTRATE_OF]->(r1:Reaction)
  -[:CONTAINS]->(p:Pathway)
  -[:CONTAINS]->(r2:Reaction)
RETURN DISTINCT r2;",I don't know the answer.,1
Phase 2,3-Hop Queries,Get second-level reactions from R06871,"MATCH (r1:Reaction {id: 'R06871'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)
RETURN r2;","['rn:R01021', 'R01021']",1
Phase 2,3-Hop Queries,Which reactions are reached through two conversions from R10826?,"MATCH (r1:Reaction {id:""R10826""})-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(r3:Reaction)
RETURN DISTINCT r3.id, r3.name;","I’m sorry, but I don’t have that information.",1
Phase 2,3-Hop Queries,List reactions two steps after R03777,"MATCH (r:Reaction {id:'R03777'})-[:PRODUCES]->(c:Compound)<-[:SUBSTRATE_OF]-(r2:Reaction)
RETURN DISTINCT r2.id, r2.name, r2.equation;",I don't know the answer.,1
Phase 2,3-Hop Queries,Which pathways is gene gmx:100217331 involved in?,"MATCH (g:Gene {id:""gmx:100217331""})-[:MEMBER_OF]->(fu:FunctionalUnit)<-[:CONTAINS]-(p:Pathway)
RETURN DISTINCT p
UNION
MATCH (g:Gene {id:""gmx:100217331""})-[:ENCODES]->(ec:EC)<-[:CONTAINS]-(p:Pathway)
RETURN DISTINCT p
UNION
MATCH (g:Gene {id:""gmx:100217331""})-[:BELONGS_TO]->(o:Ortholog)-[:MEMBER_OF]->(fu:FunctionalUnit)<-[:CONTAINS]-(p:Pathway)
RETURN DISTINCT p
UNION
MATCH (g:Gene {id:""gmx:100217331""})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway)
RETURN DISTINCT p
UNION
MATCH (g:Gene {id:""gmx:100217331""})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec:EC)<-[:CONTAINS]-(p:Pathway)
RETURN DISTINCT p","['aralip_4', 'aralip_3', 'aralip_2', 'path:ats00061', 'path:csat00061', 'path:ath00061', 'path:gmx00061']",1
Phase 2,3-Hop Queries,Show pathways for gene ats:109745953 through ortholog,"MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog)
OPTIONAL MATCH (o)-[:CATALYZES]->(r:Reaction)
OPTIONAL MATCH (o)-[:HAS_ENZYME_FUNCTION]->(e:EC)
OPTIONAL MATCH (o)-[:MEMBER_OF]->(fu:FunctionalUnit)
OPTIONAL MATCH (p:Pathway)-[:CONTAINS]->(r)
OPTIONAL MATCH (p)-[:CONTAINS]->(e)
OPTIONAL MATCH (p)-[:CONTAINS]->(fu)
RETURN DISTINCT p.id AS pathwayId, p.title AS pathwayTitle;",I don't know the answer.,1
Phase 2,3-Hop Queries,Find pathways connected to gene gmx:100037478,"MATCH (g:Gene {id:'gmx:100037478'})-[:MEMBER_OF|ENCODES|BELONGS_TO|CATALYZES|HAS_ENZYME_FUNCTION|CONTAINS|PRODUCES|SUBSTRATE_OF*]->(p:Pathway)
RETURN DISTINCT p;",I don't know the answer.,1
Phase 2,3-Hop Queries,Get pathways that gene ath:AT1G01040 participates in,,Exception: CypherSyntaxError,1
Phase 2,3-Hop Queries,Which pathways involve gene ath:AT1G01050?,,Exception: CypherSyntaxError,1
Phase 2,3-Hop Queries,List pathways for gene ats:109733199 via ortholog,"MATCH (g:Gene {id:'ats:109733199'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)
MATCH (p:Pathway)-[:CONTAINS]->(r)
RETURN DISTINCT p.id, p.title;",I don't know the answer.,1
Phase 2,3-Hop Queries,Which pathways does gene ats:109761713 affect through enzymes?,"MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)
MATCH (p:Pathway)-[:CONTAINS]->(r)
RETURN DISTINCT p.id, p.title;",I don't know the answer.,1
Phase 2,3-Hop Queries,Show pathways for gene ath:AT1G54220 via encoded EC,"MATCH (g:Gene {id:""ath:AT1G54220""})-[:ENCODES]->(ec:EC), (p:Pathway)-[:CONTAINS]->(ec)
RETURN p.id, p.title, p.link;",I don't know the answer.,1
Phase 2,3-Hop Queries,Find pathways influenced by gene ath:AT2G06990,"MATCH (g:Gene {id:""ath:AT2G06990""})
OPTIONAL MATCH (g)-[:MEMBER_OF]->(fu:FunctionalUnit)<-[:CONTAINS]-(p1:Pathway)
OPTIONAL MATCH (g)-[:ENCODES]->(ec:EC)<-[:CONTAINS]-(p2:Pathway)
OPTIONAL MATCH (g)-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p3:Pathway)
OPTIONAL MATCH (g)-[:BELONGS_TO]->(o)-[:MEMBER_OF]->(fu2:FunctionalUnit)<-[:CONTAINS]-(p4:Pathway)
WITH collect(DISTINCT p1)+collect(DISTINCT p2)+collect(DISTINCT p3)+collect(DISTINCT p4) AS paths
UNWIND paths AS p
RETURN DISTINCT p;",['path:ath03018'],1
Phase 2,3-Hop Queries,Get pathways connected to gene ath:AT5G61540 through enzymes,"MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]->(ec:EC)-[:CATALYZES]->(r:Reaction)-[:CONTAINS]->(p:Pathway)
RETURN DISTINCT p
UNION
MATCH (g:Gene {id: 'ath:AT5G61540'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec:EC)-[:CATALYZES]->(r:Reaction)-[:CONTAINS]->(p:Pathway)
RETURN DISTINCT p
UNION
MATCH (g:Gene {id: 'ath:AT5G61540'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:CONTAINS]->(p:Pathway)
RETURN DISTINCT p",I don't know the answer.,1
Phase 2,3-Hop Queries,Which pathways involve gene gmx:100217331 via EC numbers?,"MATCH (g:Gene {id:""gmx:100217331""})-[:ENCODES]->(ec:EC)
MATCH (p:Pathway)-[:CONTAINS]->(ec)
RETURN DISTINCT p
UNION
MATCH (g:Gene {id:""gmx:100217331""})-[:ENCODES]->(ec:EC)
MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction)-[:CATALYZES]->(ec)
RETURN DISTINCT p",I don't know the answer.,1
Phase 2,3-Hop Queries,List pathways for gene ats:109745953 through enzymes,"MATCH (g:Gene {id:""ats:109745953""})-[:ENCODES]->(e:EC)<-[:CONTAINS]-(p:Pathway)
RETURN DISTINCT p.id, p.title;",I don't know the answer.,1
Phase 2,Variable-Length Paths,How is compound EC:1.3.1.21 connected to EC:1.3.1.21?,,Exception: CypherSyntaxError,1
Phase 2,Variable-Length Paths,Show pathways between path:ath00603 and path:ath00603,"MATCH (p:Pathway {id:""ath00603""})
RETURN p;",I don't know the answer.,1
Phase 2,Variable-Length Paths,Find conversion routes from C00035 to C00037,,I don't know the answer.,1
Phase 2,Variable-Length Paths,Get paths connecting C00041 to C00043,"MATCH p = (c1:Compound {id: 'C00041'})-[:SUBSTRATE_OF|PRODUCES*1..5]-(c2:Compound {id: 'C00043'})
RETURN p;",I don't know the answer.,1
Phase 2,Variable-Length Paths,Which reactions link C00041 to C00043?,"MATCH (c1:Compound {id: 'C00041'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound {id: 'C00043'})
RETURN r.id, r.name;",I don't know the answer.,1
Phase 2,Variable-Length Paths,Show metabolic route from C00058 to C00062,,I don't know the answer.,1
Phase 2,Variable-Length Paths,What's the shortest connection between gene path:ats01040 and pathway path:ats01040?,"MATCH (g:Gene {id:'path:ats01040'}), (p:Pathway {id:'path:ats01040'}), 
      path = shortestPath((g)-[*]-(p))
RETURN path;",I don't know the answer.,1
Phase 2,Variable-Length Paths,Find shortest path from compound EC:1.13.11.33 to enzyme EC:1.13.11.33,"MATCH (c:Compound {id: 'EC:1.13.11.33'}), (e:EC {id: 'EC:1.13.11.33'})
MATCH p = shortestPath((c)-[*]-(e))
RETURN p",I don't know the answer.,1
Phase 2,Variable-Length Paths,Get shortest connection between ortholog path:gmx00280 and pathway path:gmx00280,"MATCH (o:Ortholog {id:""gmx00280""}), (p:Pathway {id:""gmx00280""})
MATCH path = shortestPath((o)-[*]-(p))
RETURN path;",I don't know the answer.,1
Phase 2,Variable-Length Paths,What's the closest path from enzyme EC:6.4.1.2 to compound EC:6.4.1.2?,"MATCH p=(e:EC {id:""6.4.1.2""})-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)
RETURN p;",I don't know the answer.,1
Phase 2,Variable-Length Paths,Find minimum hops from gene ath:AT1G01040 to reaction ath:AT1G01040,"MATCH (g:Gene {id:""ath:AT1G01040""}),(r:Reaction {id:""ath:AT1G01040""})
WITH g,r
MATCH p=shortestPath((g)-[*]-(r))
RETURN length(p) AS hops;",I don't know the answer.,1
Phase 2,Variable-Length Paths,What is within 2 steps of gene ath:AT1G01050?,"MATCH (g:Gene {id:'ath:AT1G01050'})-[*1..2]-(n)
RETURN DISTINCT n;","['EC:3.6.1.1', 'K01507', 'rn:R00004', 'ath:AT5G09650', 'ath:AT4G01480', 'ath:AT3G53620', 'ath:AT2G46860', 'ath:AT2G18230', 'K15986', 'K11726']",1
Phase 2,Variable-Length Paths,Show all entities within 2 hops of compound C00052,,Exception: CypherSyntaxError,1
Phase 2,Variable-Length Paths,Find everything connected within 2 steps of pathway path:gmx00061,,Exception: CypherSyntaxError,1
Phase 2,Variable-Length Paths,Get neighbors within 2 hops of enzyme EC:2.3.1.199,,Exception: CypherSyntaxError,1
