Result,Reason (Match Type),Counts (Bot / GT),Missing IDs (Example),Extra IDs (Example),Question,Bot Query,Truth Query
✅ Correct,Subset Match,0 / 3,"['hexadecanoyl-[acyl-carrier protein],reduced-ferredoxin:oxygen oxidoreductase (9,10 cis-dehydrogenating)', 'stearoyl-[acyl-carrier protein],reduced-ferredoxin:oxygen oxidoreductase (9,10 cis-dehydrogenating)', 'R03370']",-,Show reactions for gene gmx:100217331 via encoded enzymes,MATCH (e:EC {id: 'gmx:100217331'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'gmx:100217331'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Find reactions catalyzed by enzymes from gene EC:1.3.1.10,MATCH (e:EC {id: 'EC:1.3.1.10'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'EC:1.3.1.10'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Get reactions that gene ats:109745953 affects through EC numbers,MATCH (e:EC {id: 'ats:109745953'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'ats:109745953'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Subset Match,0 / 3,"['hexadecanoyl-[acyl-carrier protein],reduced-ferredoxin:oxygen oxidoreductase (9,10 cis-dehydrogenating)', 'stearoyl-[acyl-carrier protein],reduced-ferredoxin:oxygen oxidoreductase (9,10 cis-dehydrogenating)', 'R03370']",-,Which reactions are influenced by gene gmx:100037478?,MATCH (e:EC {id: 'gmx:100037478'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'gmx:100037478'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,List reactions connected to gene EC:4.2.1.59 through enzymes,MATCH (e:EC {id: 'EC:4.2.1.59'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'EC:4.2.1.59'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction) RETURN r
✅ Correct,Full Match,2 / 2,-,-,What compounds are produced from compound C06000?,MATCH (c1:Compound {id: 'C06000'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,MATCH (c1:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2
✅ Correct,Full Match,48 / 48,-,-,Show products when C00024 is used as substrate,MATCH (c1:Compound {id: 'C00024'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,MATCH (c1:Compound {id: 'C00024'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2
✅ Correct,Empty Match,0 / 0,-,-,Find compounds made from C00164,MATCH (c1:Compound {id: 'C00164'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,MATCH (c1:Compound {id: 'C00164'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2
✅ Correct,Empty Match,0 / 0,-,-,Get output compounds for substrate C08813,MATCH (c1:Compound {id: 'C08813'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,MATCH (c1:Compound {id: 'C08813'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2
✅ Correct,Full Match,3 / 3,-,-,Which compounds are synthesized from C03069?,MATCH (c1:Compound {id: 'C03069'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,MATCH (c1:Compound {id: 'C03069'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2
✅ Correct,Full Match,2 / 2,-,-,What can be produced using compound C00183 as input?,MATCH (c1:Compound {id: 'C00183'})-[:SUBSTRATE_OF]-(r:Reaction)-[:PRODUCES]-(c2:Compound) RETURN c2,MATCH (c1:Compound {id: 'C00183'})-[:SUBSTRATE_OF]->(r:Reaction)-[:PRODUCES]->(c2:Compound) RETURN c2
✅ Correct,Empty Match,0 / 0,-,-,What enzyme functions does gene ath:AT1G01040 have through ortholog?,MATCH (o:Ortholog {id: 'ath:AT1G01040'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
✅ Correct,Subset Match,0 / 1,"['3.6.1.1', 'inorganic diphosphatase']",-,Show EC numbers for gene ath:AT1G01050 via ortholog,MATCH (o:Ortholog {id: 'ath:AT1G01050'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
✅ Correct,Full Match,1 / 1,-,-,Find enzyme activities of gene gmx:547808 through KO group,MATCH (g:Gene {id: 'gmx:547808'})-[:ENCODES]-(e:EC) RETURN e,MATCH (g:Gene {id: 'gmx:547808'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
✅ Correct,Empty Match,0 / 0,-,-,Get EC numbers associated with gene ats:109733199 via ortholog,MATCH (o:Ortholog {id: 'ats:109733199'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,MATCH (g:Gene {id: 'ats:109733199'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
✅ Correct,Empty Match,0 / 0,-,-,Which enzymes does gene ats:109761713 relate to through ortholog?,MATCH (o:Ortholog {id: 'ats:109761713'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,MATCH (g:Gene {id: 'ats:109761713'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
✅ Correct,Full Match,1 / 1,-,-,List enzyme functions for gene ath:AT1G54220 via ortholog groups,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]-(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
✅ Correct,Subset Match,0 / 2,"['R01021', 'ATP:choline phosphotransferase', 'rn:R01021']",-,What reactions use products from reaction R06871?,MATCH (r_source:Reaction {id: 'R06871'})-[:PRODUCES]->(product:Compound)<-[:SUBSTRATE_OF]-(target_reaction:Reaction) RETURN target_reaction,MATCH (r1:Reaction {id: 'R06871'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Full Match,57 / 57,-,-,Show downstream reactions of reaction R10826,MATCH (r1:Reaction {id: 'R10826'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (r1:Reaction {id: 'R10826'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Empty Match,0 / 0,-,-,Find reactions that consume products of reaction R03777,MATCH (r1:Reaction {id: 'R03777'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2,MATCH (r1:Reaction {id: 'R03777'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Full Match,3 / 3,-,-,Get reactions following reaction R02814,MATCH (r1:Reaction {id: 'R02814'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (r1:Reaction {id: 'R02814'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Full Match,3 / 3,-,-,Which reactions use outputs from reaction R04957?,MATCH (r1:Reaction {id: 'R04957'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (r1:Reaction {id: 'R04957'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Full Match,1 / 1,-,-,List next reactions after reaction R07449,MATCH (r1:Reaction {id: 'R07449'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (r1:Reaction {id: 'R07449'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Full Match,7 / 7,-,-,What compounds are produced in pathway path:gmx00603?,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN DISTINCT c,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN DISTINCT c
✅ Correct,Subset Match,0 / 7,"['NOR2 antigen', 'C01132', 'G10619']",-,Show all products of path:ath00603 pathway,MATCH (p:Pathway {id: 'ath00603'})-[:CONTAINS]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN DISTINCT c,MATCH (p:Pathway {id: 'path:ath00603'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN DISTINCT c
✅ Correct,Full Match,12 / 12,-,-,Find compounds made in pathway path:ats01040,MATCH (p:Pathway {id: 'path:ats01040'})-[:CONTAINS]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN DISTINCT c,MATCH (p:Pathway {id: 'path:ats01040'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN DISTINCT c
✅ Correct,Full Match,39 / 39,-,-,Which compounds are synthesized in pathway path:gmx00280?,MATCH (p:Pathway {id: 'path:gmx00280'})-[:CONTAINS]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN DISTINCT c,MATCH (p:Pathway {id: 'path:gmx00280'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN DISTINCT c
✅ Correct,Full Match,49 / 49,-,-,List all products from path:gmx00061 pathway,MATCH (p:Pathway {id: 'path:gmx00061'})-[:CONTAINS]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN DISTINCT c,MATCH (p:Pathway {id: 'path:gmx00061'})-[:CONTAINS]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN DISTINCT c
✅ Correct,Full Match,42 / 42,-,-,What compounds are consumed in pathway path:ath00061?,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]-(r:Reaction)-[:SUBSTRATE_OF]-(c:Compound) RETURN DISTINCT c,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(r:Reaction)<-[:SUBSTRATE_OF]-(c:Compound) RETURN DISTINCT c
✅ Correct,Full Match,6 / 6,-,-,Find input compounds for pathway path:ats00603,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]-(r:Reaction)-[:SUBSTRATE_OF]-(c:Compound) RETURN DISTINCT c,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]->(r:Reaction)<-[:SUBSTRATE_OF]-(c:Compound) RETURN DISTINCT c
✅ Correct,Full Match,37 / 37,-,-,Which compounds are consumed in pathway path:ats00280?,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]-(r:Reaction)-[:SUBSTRATE_OF]-(c:Compound) RETURN DISTINCT c,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]->(r:Reaction)<-[:SUBSTRATE_OF]-(c:Compound) RETURN DISTINCT c
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): id} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,What enzymes are associated with functional unit M00001?,MATCH (f:FunctionalUnit {id: 'M00001'})-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]-(e:EC) RETURN DISTINCT e,MATCH (f:FunctionalUnit {id: $id})<-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN DISTINCT e
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): id} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Show EC numbers for complex M00002,MATCH (f:FunctionalUnit {id: 'M00002'})-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]-(e:EC) RETURN DISTINCT e,MATCH (f:FunctionalUnit {id: $id})<-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN DISTINCT e
✅ Correct,Empty Match,0 / 0,-,-,Find enzyme EC:1.3.1.9 activities in functional unit M00003,MATCH (e:EC {id: 'EC:1.3.1.9'})-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (f:FunctionalUnit {id: 'EC:1.3.1.9'})<-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN DISTINCT e
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): id} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Get enzymes for complex M00004,MATCH (f:FunctionalUnit {id: 'M00004'})-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]-(e:EC) RETURN DISTINCT e,MATCH (f:FunctionalUnit {id: $id})<-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN DISTINCT e
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): id} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,Which EC numbers relate to functional unit M00005?,MATCH (f:FunctionalUnit {id: 'M00005'})-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]-(e:EC) RETURN DISTINCT e,MATCH (f:FunctionalUnit {id: $id})<-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN DISTINCT e
Invalid (GT Error),GT Error: Error: {neo4j_code: Neo.ClientError.Statement.ParameterMissing} {message: Expected parameter(s): id} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax},0 / 0,,,List enzymes in complex M00006,MATCH (f:FunctionalUnit {id: 'M00006'})-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]-(e:EC) RETURN DISTINCT e,MATCH (f:FunctionalUnit {id: $id})<-[:MEMBER_OF]-(n)-[:ENCODES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN DISTINCT e
✅ Correct,Empty Match,0 / 0,-,-,What compounds does gene ath:AT2G06990 help produce?,MATCH (g:Gene {id: 'ath:AT2G06990'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN c,MATCH (g:Gene {id: 'AT2G06990'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
✅ Correct,Empty Match,0 / 0,-,-,Show products from gene ath:AT5G61540 via ortholog pathway,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:BELONGS_TO]-(o:Ortholog)-[:CATALYZES]-(r:Reaction) RETURN r,MATCH (g:Gene {id: 'AT5G61540'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
✅ Correct,Full Match,9 / 9,-,-,Find compounds synthesized by gene gmx:100217331,MATCH (g:Gene {id: 'gmx:100217331'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN c,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
✅ Correct,Empty Match,0 / 0,-,-,Get output compounds from gene ats:109745953,MATCH (r:Reaction {id: 'ats:109745953'})-[:PRODUCES]-(c:Compound) RETURN c,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
✅ Correct,Full Match,9 / 9,-,-,Which compounds are produced through gene gmx:100037478?,MATCH (g:Gene {id: 'gmx:100037478'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN c,MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
✅ Correct,Empty Match,0 / 0,-,-,List compounds made by gene ath:AT1G01040 via ortholog,MATCH (r:Reaction {id: 'ath:AT1G01040'})-[:PRODUCES]-(c:Compound) RETURN c,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
✅ Correct,Full Match,1 / 1,-,-,What compounds does gene ath:AT1G01050 produce through enzymes?,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN c,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
✅ Correct,Empty Match,0 / 0,-,-,Show products from gene ats:109733199 via EC pathway,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN c,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
✅ Correct,Empty Match,0 / 0,-,-,Find compounds made by gene ats:109761713 through enzymes,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN c,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
✅ Correct,Subset Match,2 / 0,-,"['CoA', '[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine', 'C16255']",Get products from gene ath:AT1G54220 via enzyme catalysis,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN c,MATCH (g:Gene {id: 'AT1G54220'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
✅ Correct,Empty Match,0 / 0,-,-,Which compounds result from gene ath:AT2G06990 activity?,MATCH (g:Gene {id: 'ath:AT2G06990'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN c,MATCH (g:Gene {id: 'AT2G06990'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
✅ Correct,Empty Match,0 / 0,-,-,List compounds produced by gene ath:AT5G61540 via enzymes,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]-(e:EC)-[:CATALYZES]-(r:Reaction)-[:PRODUCES]-(c:Compound) RETURN c,MATCH (g:Gene {id: 'AT5G61540'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c
✅ Correct,Subset Match,0 / 184,"['rn:R01616', 'CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase', 'rn:R02241']",-,What reactions follow pathway path:gmx01040?,MATCH (p:Pathway {id: 'gmx01040'})-[:CONTAINS]-(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Empty Match,0 / 0,-,-,Show downstream reactions from glycolysis products,MATCH (r1:Reaction {id: 'glycolysis'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (p:Pathway {id: 'path:ath00010'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Subset Match,0 / 751,"['R08174', 'R04019', 'R07604']",-,Find reactions that use outputs from pathway path:ath00280,MATCH (c:Compound {id: 'ath00280'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:ath00280'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Empty Match,0 / 0,-,-,Get subsequent reactions after TCA cycle,MATCH (r1:Reaction {id: '2.7.7.14'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (p:Pathway {id: 'path:ath00020'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Subset Match,0 / 4,"['R05960', 'globoside N-acetylhexosaminohydrolase', 'R04184']",-,Which reactions consume products from pathway path:gmx00603?,MATCH (c:Compound {id: 'gmx00603'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Subset Match,0 / 2565,"['R08174', 'R04019', 'R07618']",-,List reactions following fatty acid biosynthesis,MATCH (r1:Reaction {id: 'path:ats00061'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Empty Match,0 / 0,-,-,What reactions are two steps downstream from compound C01181?,MATCH (r1:Reaction {id: 'C01181'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (c1:Compound {id: 'C01181'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Subset Match,2 / 0,-,"['R01468', 'ATP:ethanolamine O-phosphotransferase', 'rn:R01468']",Show reactions in the second step after using R06870,MATCH (r1:Reaction {id: 'R06870'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (c1:Compound {id: 'R06870'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Subset Match,0 / 74,"['acyl-CoA:2-acyl-sn-glycerol-3-phosphate O-acyltransferase', 'R01348', 'R00851']",-,Find reactions two hops away from compound C00422,MATCH (r1:Reaction {id: 'C00422'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (c1:Compound {id: 'C00422'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Subset Match,2 / 0,-,"['R01021', 'ATP:choline phosphotransferase', 'rn:R01021']",Get second-level reactions from R06871,MATCH (r1:Reaction {id: 'R06871'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (c1:Compound {id: 'R06871'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Subset Match,57 / 0,-,"['R03370', '24-methylidenecycloartanol,ferrocytochrome-b5:oxygen oxidoreductase (C-4alpha-methyl-hydroxylating)', 'rn:R03728']",Which reactions are reached through two conversions from R10826?,MATCH (r1:Reaction {id: 'R10826'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (c1:Compound {id: 'R10826'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Empty Match,0 / 0,-,-,List reactions two steps after R03777,MATCH (r1:Reaction {id: 'R03777'})-[:PRODUCES]-(c:Compound)-[:SUBSTRATE_OF]-(r2:Reaction) RETURN r2,MATCH (c1:Compound {id: 'R03777'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2
✅ Correct,Subset Match,0 / 11,"['aralip_2', 'Fatty Acid Elongation, Desaturation & Export From Plastid', 'path:ath00061']",-,Which pathways is gene gmx:100217331 involved in?,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'gmx:100217331'}) RETURN p,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
✅ Correct,Empty Match,0 / 0,-,-,Show pathways for gene ats:109745953 through ortholog,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'ats:109745953'}) RETURN p,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
✅ Correct,Subset Match,0 / 11,"['aralip_2', 'Fatty Acid Elongation, Desaturation & Export From Plastid', 'path:ath00061']",-,Find pathways connected to gene gmx:100037478,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'gmx:100037478'}) RETURN p,MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
✅ Correct,Empty Match,0 / 0,-,-,Get pathways that gene ath:AT1G01040 participates in,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'ath:AT1G01040'}) RETURN p,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
✅ Correct,Empty Match,0 / 0,-,-,Which pathways involve gene ath:AT1G01050?,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'ath:AT1G01050'}) RETURN p,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
